,hidden_units: 400,training_set: 35000,validation_set: 10000,testing_set: 10000,,hidden_units: 100,training_set: 140000,validation_set: 20000,testing_set: 10000,,hidden_units: 200,training_set: 70000,validation_set: 20000,testing_set: 10000,,hidden_units: 100,training_set: 70000,validation_set: 20000,testing_set: 10000
,,,,,,,,,,,,,,,,,,,
,best_validation_loss,test_score,running_time,,,best_validation_loss,test_score,running_time,,,best_validation_loss,test_score,running_time,,,best_validation_loss,test_score,running_time,
,,,,,,,,,,,,,,,,,,,
,0.0875,0.0832,0.100844293,,,0.086,0.0875,0.017070592,,,0.0858,0.0844,0.129222635,,,0.0856,0.0826,0.030518731,
,0.0872,0.0853,0.097448829,,,0.0856,0.0884,0.01800239,,,0.0877,0.0833,0.064788501,,,0.0845,0.0863,0.035951957,
,0.0868,0.0813,0.107112726,,,0.08505,0.0854,0.020481752,,,0.08585,0.0863,0.096468735,,,0.08635,0.0882,0.035063021,
,0.0861,0.0834,0.079731683,,,0.08515,0.0843,0.018599139,,,0.0867,0.0859,0.050566429,,,0.08635,0.0881,0.037385725,
,0.0852,0.0845,0.07615481,,,0.08495,0.0873,0.017821886,,,0.08405,0.0887,0.040676751,,,0.08625,0.0866,0.034759968,
,0.0912,0.0859,0.072114904,,,0.08495,0.0845,0.018795339,,,0.0873,0.087,0.067682599,,,0.08625,0.0854,0.033414641,
,0.0842,0.0835,0.069723983,,,0.0874,0.0848,0.017882557,,,0.08555,0.0858,0.047747792,,,0.08425,0.0878,0.0370383,
,0.0872,0.0854,0.068674465,,,0.08625,0.086,0.018070909,,,0.08445,0.088,0.06212622,,,0.0857,0.0848,0.031486147,
,0.0863,0.0845,0.069678706,,,0.08655,0.0938,0.018063061,,,0.0854,0.0817,0.039590709,,,0.0876,0.0875,0.033610237,
,0.087,0.0847,0.067577255,,,0.0849,0.0863,0.01899003,,,0.0867,0.0842,0.053858662,,,0.08605,0.0847,0.037572568,
,0.087,0.0863,0.071348216,,,0.08725,0.0875,0.017805888,,,0.08535,0.0864,0.044997071,,,0.085,0.0836,0.03663594,
,0.0853,0.0862,0.082405736,,,0.0851,0.0901,0.017987298,,,0.08515,0.0896,0.046703103,,,0.0874,0.0893,0.034256791,
,0.0874,0.0856,0.067185459,,,0.0872,0.0853,0.017979752,,,0.0857,0.0878,0.057298498,,,0.08495,0.0882,0.037415004,
,0.0871,0.0848,0.068800335,,,0.08615,0.0906,0.015681799,,,0.08625,0.0871,0.044810832,,,0.08465,0.0838,0.035801336,
,0.0899,0.0822,0.082837979,,,0.08485,0.0882,0.014690537,,,0.08695,0.0874,0.065827756,,,0.08675,0.0857,0.03537845,
